image_url,price,artist,title,date
https://d32dm0rphc51dk.cloudfront.net/M-MkkDZXIxdmf9amSIzfEA/larger.jpg,US$500,Hannah Eddy,It‚Äôs All In Your Hands,2024
https://d32dm0rphc51dk.cloudfront.net/qpfB3OqZEgznoP9OuKDHDQ/larger.jpg,US$650,Wladymir Bernechea,La imagen que persiste,2024
https://d32dm0rphc51dk.cloudfront.net/m5VmsX2zzNcExdtYpUM3-Q/larger.jpg,US$900,Shira Toren,Parasol #3,ca. 2024
https://d32dm0rphc51dk.cloudfront.net/rVE7HwXMNgYsLWskuQ-AYA/larger.jpg,US$675,Bill Mead,The Green Grocer,2023
https://d32dm0rphc51dk.cloudfront.net/I_0tGWQbnDKcVi8LfVI7dA/larger.jpg,"US$1,000",Pietro Adamo,Untitled,2022
https://d32dm0rphc51dk.cloudfront.net/HDeazAZXz5MenydOa2zTZw/larger.jpg,US$899,Gago Chtchyan,Yellow Portrait,2020
https://d32dm0rphc51dk.cloudfront.net/gYdm_iN5EOOWFPjpSGuUOA/larger.jpg,"US$2,600",TABBY,Heart Attack,2023
https://d32dm0rphc51dk.cloudfront.net/ZDI8sRGirjcmE3wYu1jr_A/larger.jpg,"US$10,500",Mr. Brainwash,Banksy Thrower with Keith Haring,2022
https://d32dm0rphc51dk.cloudfront.net/6wTTTJU4K-0LT03tc0kfcA/larger.jpg,"US$12,000",Mr. Brainwash,Chaplin (with Cat),2022
https://d32dm0rphc51dk.cloudfront.net/_d9kFNuFleVOG2wfh705_g/larger.jpg,US$165,Zac Boetes,Dusted,2024
https://d32dm0rphc51dk.cloudfront.net/HGg-xtdyFTMzDjmN9gIzxw/larger.jpg,"US$4,350",Claudia Hartley,"""Majestic Peaks""",2024
https://d32dm0rphc51dk.cloudfront.net/SVsWWIYza5nbZhVOh2tr6w/larger.jpg,US$451,Cal,BABY CAT,2021
https://d32dm0rphc51dk.cloudfront.net/Nj04p2CiN5WQHxH1PS8eGQ/larger.jpg,"£3,200",Gill Button,Faded Whispers,2024
https://d32dm0rphc51dk.cloudfront.net/tJduV-cgzZh0AWJxn60Nmg/larger.jpg,"US$5,000",Urszula ≈ölusarczyk, XXXIII,2023
https://d32dm0rphc51dk.cloudfront.net/EyqkQg9pI6hwnA3nde0o3g/larger.jpg,"US$5,500",Miguel Arzabe,Chicago III,2024
https://d32dm0rphc51dk.cloudfront.net/_DF2GOURPmlPH45G0FexsQ/larger.jpg,US$850,Saskia Rem Brandt,"""Still life with apples, pumpkin "",    Old Master Art, Vintage Style",2022
https://d32dm0rphc51dk.cloudfront.net/ex5jRI-efJQe-CaN1HwMPg/larger.jpg,"US$5,000",Osamu Kobayashi,Shadow Valley,2023
https://d32dm0rphc51dk.cloudfront.net/rtlmjzmUwwStCpKJquEEyA/larger.jpg,"US$6,500",Hunt Slonem,Sun Set,2024
https://d32dm0rphc51dk.cloudfront.net/nzVvfgnRBtJyBvalMNPokw/larger.jpg,US$548,Cal,Shonan sunset #2,2022
https://d32dm0rphc51dk.cloudfront.net/jIjof4UetgyYT0Pb7_GEHw/larger.jpg,"US$12,000",Mr. Brainwash,'Balloon Dog' Unique Collage Painting,2020
https://d32dm0rphc51dk.cloudfront.net/cOFGw_2WxK7FYdjF9Z1f_Q/larger.jpg,"US$1,760",Bill Mead,There's More than One Way to the Post Office,2023
https://d32dm0rphc51dk.cloudfront.net/AZCVpEXXnWg359C--W4hEg/larger.jpg,US$800,David Jamin,Introportrait en mars,2024
https://d32dm0rphc51dk.cloudfront.net/Y96s0k8OlzFzyYZVr91iaQ/larger.jpg,"US$5,000",Johannes Ehemann,Number Five,2024
https://d32dm0rphc51dk.cloudfront.net/A8P3njBnJEwdk04JwUZJXw/larger.jpg,US$350,Kendra Lynn Bulgrin,Water Diary XII,2024
https://d32dm0rphc51dk.cloudfront.net/1GdyaJZNY1L0w9UA4gtV-w/larger.jpg,US$850,Nicole Williford,Dinner Time,2024
https://d32dm0rphc51dk.cloudfront.net/PMHwb289BCRxBsJU8GMDDA/larger.jpg,US$800,Ezra Brown,Everything is Better With You In It.,2024
https://d32dm0rphc51dk.cloudfront.net/A1jhgA9dBMqX5I7hzxycEw/larger.jpg,"US$4,500",Sven,Free birds,2018
https://d32dm0rphc51dk.cloudfront.net/3Thr1KzvEsoggeHjmjqfKQ/larger.jpg,US$390,Juan Pascual,Nabuqan,ca. 2023
https://d32dm0rphc51dk.cloudfront.net/OeHyHH_r99p44nOP7x39bQ/larger.jpg,"US$1,650",Vanessa Stockard,Wake Up Rapunzel,2022
https://d32dm0rphc51dk.cloudfront.net/Sgduwrj_9qWdkXCJQaH0Bw/larger.jpg,"US$4,500",Nicole Williford,Blue Jubliee,2024
https://d32dm0rphc51dk.cloudfront.net/wOSY9TQsHSLZ6g-IYiXHrg/larger.jpg,"US$2,850",Osvaldo Ferreira,A Fam√≠lia,2023
https://d32dm0rphc51dk.cloudfront.net/9OEQpnzx9D45grusVYgIMA/larger.jpg,US$295,Joanna Glazer,Mystery Incarnated,2023
https://d32dm0rphc51dk.cloudfront.net/G7a6VyMYROB6k8lnemsrvw/larger.jpg,"US$1,500",Robert Minervini,Three Figs,2024
https://d32dm0rphc51dk.cloudfront.net/zl3l1C0MSNdDSr1_ufrj-g/larger.jpg,US$700,Monica Bernier,Empty Lot Viewed from the Train,2022
https://d32dm0rphc51dk.cloudfront.net/pJN2K9DjtLTdoQjSjxSU-Q/larger.jpg,US$650,Wladymir Bernechea,Interferencia II,2024
https://d32dm0rphc51dk.cloudfront.net/kPrFiZOhnbg1azf2uxPhXA/larger.jpg,"US$2,700",Vincent Arnold,Pretend this Painting,2024
https://d32dm0rphc51dk.cloudfront.net/RIqlF-FSXkDUljkU2a3sUw/larger.jpg,"US$6,500",Sisqo Ndombe,Homeless,2024
https://d32dm0rphc51dk.cloudfront.net/Pn53ZtJUKIHREgS9gEjdwQ/larger.jpg,US$382,Satoshi Egawa,Weed,ca.2020
https://d32dm0rphc51dk.cloudfront.net/CELRDJLKVgS9ZXvcN56b6Q/larger.jpg,US$400,Sophia Gawer-Fische,Sunflower Shine #3,2023
https://d32dm0rphc51dk.cloudfront.net/gVhp9rjmfU7iNOJechqFAQ/larger.jpg,US$650,Wladymir Bernechea,Orbs grises,2024
https://d32dm0rphc51dk.cloudfront.net/Soow0DZ9Db3pfP6Tlrt7eQ/larger.jpg,"US$13,000-US$15,000",Esther Mahlangu,Ndebele Design,2010
https://d32dm0rphc51dk.cloudfront.net/pKCWv1r1Or3D75XZm2PL2Q/larger.jpg,"US$6,000",Rick Prol,Cat in Grey street,2023
https://d32dm0rphc51dk.cloudfront.net/SCFE-VW_NFjxo70Pg_mtog/larger.jpg,"US$3,500-US$6,000",Yesiyu Zhao,Feeling Like a Princess,2021
https://d32dm0rphc51dk.cloudfront.net/fyAij0K2p7bUdZs1alCEmA/larger.jpg,"US$2,500",Bill Mead,Chariots of Ire,2024
https://d32dm0rphc51dk.cloudfront.net/MwpxFHHT6CBXp2XBSFQn3g/larger.jpg,US$850,Nicole Williford,"Interior, Mother",2024
https://d32dm0rphc51dk.cloudfront.net/4o1dFHI0x0btUX9efLrYcg/larger.jpg,US$980,qiyi ma,Untitled,2023
https://d32dm0rphc51dk.cloudfront.net/R1nx3iX9f87SZxBXRB4suA/larger.jpg,US$125,"R.W. ""Rudy"" Beerens",Brigitte Bardot,2021
